seq,payload_bytes,build_ns,sendto_ns,rtt_ns,rx_len,ok
563,768,297,5574,128759,768,1
564,768,296,5278,128481,768,1
565,768,296,5278,127537,768,1
566,768,296,5260,128296,768,1
567,768,296,5259,128074,768,1
568,768,296,5315,128222,768,1
569,768,296,5278,128074,768,1
570,768,297,5296,128093,768,1
571,768,296,5334,128741,768,1
572,768,297,5315,128407,768,1
573,768,296,5445,128611,768,1
574,768,296,5296,127945,768,1
575,768,297,5370,128537,768,1
576,768,296,5500,128222,768,1
577,768,296,5296,128185,768,1
578,768,296,5259,128314,768,1
579,768,297,5333,128778,768,1
580,768,296,5296,128371,768,1
581,768,297,5278,128574,768,1
582,768,315,5852,130130,768,1
583,768,296,5815,129741,768,1
584,768,315,6019,128889,768,1
585,768,296,5445,128259,768,1
586,768,296,5296,128556,768,1
587,768,278,5334,128297,768,1
588,768,296,5315,128537,768,1
589,768,296,5352,127982,768,1
590,768,296,5444,128519,768,1
591,768,278,5352,128963,768,1
592,768,296,5815,136037,768,1
593,768,314,5612,137871,768,1
594,768,315,6130,131074,768,1
595,768,297,5463,129111,768,1
596,768,296,5352,128741,768,1
597,768,297,5296,128537,768,1
598,768,296,5334,128074,768,1
599,768,296,5426,128333,768,1
600,768,296,5315,127871,768,1
601,768,297,5370,128055,768,1
602,768,277,5334,128500,768,1
603,768,315,5333,127723,768,1
604,768,297,5296,128389,768,1
605,768,296,5315,131611,768,1
606,768,296,5518,128630,768,1
607,768,297,5389,128722,768,1
608,768,277,5519,128741,768,1
609,768,296,5370,128722,768,1
610,768,296,5241,128963,768,1
611,768,297,5277,128259,768,1
612,768,296,5296,128260,768,1
613,768,315,5241,128500,768,1
614,768,297,5277,128463,768,1
615,768,296,5259,128185,768,1
616,768,296,5352,128111,768,1
617,768,296,5241,128370,768,1
618,768,296,5352,128278,768,1
619,768,296,5315,128185,768,1
620,768,297,5240,128333,768,1
621,768,296,5259,128186,768,1
622,768,297,5277,129092,768,1
623,768,297,5277,129111,768,1
624,768,314,5426,128834,768,1
625,768,296,5389,128352,768,1
626,768,297,5240,127833,768,1
627,768,296,5278,127982,768,1
628,768,297,5277,128685,768,1
629,768,296,5278,128408,768,1
630,768,296,5278,128259,768,1
631,768,296,5260,128296,768,1
632,768,296,5259,129185,768,1
633,768,296,5241,127963,768,1
634,768,297,5240,128111,768,1
635,768,296,5259,128148,768,1
636,768,297,5277,128870,768,1
637,768,297,5277,127815,768,1
638,768,297,5259,128537,768,1
639,768,297,5314,128981,768,1
640,768,296,5426,129241,768,1
641,768,296,5407,128593,768,1
642,768,296,5278,128463,768,1
643,768,296,5296,128186,768,1
644,768,297,5277,132055,768,1
645,768,278,5333,136241,768,1
646,768,315,5852,136833,768,1
647,768,333,10759,140130,768,1
648,768,315,9796,139944,768,1
649,768,315,10500,142259,768,1
650,768,315,10129,139851,768,1
651,768,315,10240,135871,768,1
652,768,296,5963,129019,768,1
653,768,296,5537,128315,768,1
654,768,297,5463,130259,768,1
655,768,296,6000,129666,768,1
656,768,297,5648,131296,768,1
657,768,296,5426,128574,768,1
658,768,296,5315,195129,768,1
659,768,333,14074,145241,768,1
660,768,296,6204,130519,768,1
661,768,297,5518,128907,768,1
662,768,296,5408,128277,768,1
663,768,297,5314,129203,768,1
664,768,296,5352,128315,768,1
665,768,297,5426,128704,768,1
